product_name,review_count,review_rating,skin_type,review_text,url
광채탄력 아이볼세럼 15 ml,116,4,중성,롤링볼이 있어서 눈가 마사지도 되고 눈가가 촉촉해져요 다 써도 맛사지용으로 롤링볼 써도 될듯합다다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072807&recmYn=N
광채탄력 아이볼세럼 15 ml,116,4,,손등에 한번 눌러서 내용물이 나오면 그때 눈가에 바르세요. 시원하고 촉촉해서 아침에 사용해도 밀림없이 좋네요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072807&recmYn=N
광채탄력 아이볼세럼 15 ml,116,5,중성,매장구매 눈이 건조해서 많이 비볐더니 눈 밑 주름이 장난 아닌데 이거 괜찮은 것 같아요! 이것저것 많이 써봤는데 비싼 제품이랑 비교해도 좋을 정도입니다 주름을 펴주진 않아도 예방에는 도움이 되는 것 같아요 문제는 액체가 아래쪽으로 나와서 흐른다는 거... 근데 세럼 자체는 비싼 제품보다 좋아서 5점이에요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072807&recmYn=N
광채탄력 부스터샷세럼 45 ml,58,5,중성,아직 사용은 안해봣는데요 금방 사용할거 같습니다 순햇으면 좋겟는데요 어떨지 모르겟습니다 보습력도 궁금합니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072806&recmYn=N
광채탄력 부스터샷세럼 45 ml,58,5,건성,자기 전에 바르고 자면 쫀쫀해짐!! 니들도 잘 느껴지고 좋아용,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072806&recmYn=N
광채탄력 부스터샷세럼 45 ml,58,5,중성,거성비 갑이예요~추천드려요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072806&recmYn=N
광채탄력 부스터샷세럼 45 ml,58,5,건성,좋아요 다음에 또 살듯,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072806&recmYn=N
광채탄력 부스터샷세럼 45 ml,58,5,,끈적하면서 얼굴에 바르면 쫀쫀함이 느껴져요. 마음에 쏙 듭니다. 다음에도 사용할게요.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072806&recmYn=N
광채탄력 부스터샷세럼 45 ml,58,5,건성,두번째 구매 좋아요 촉촉해요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072806&recmYn=N
광채탄력 부스터샷세럼 45 ml,58,5,지성,"요 라인으로 토너랑 크림 사서 잘 쓰고있는뎅, 셋뚜셋뚜로 써보고싶어서 구매함ㅎㅎ 보라색 패키지도 이쁘공, 순해용ㅎ",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072806&recmYn=N
광채탄력 부스터샷세럼 45 ml,58,5,지성,가성비 넘치는 다이소제품 효능보고 잘쓸게용,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072806&recmYn=N
광채탄력 부스터샷세럼 45 ml,58,5,민감성,탄력에 좋아요~ 추천합니다.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072806&recmYn=N
